# 这是订阅源列表，每行一个订阅地址
# 支持设置UA：https://xxx.com/subscribe.m3u UA="xxx"

央视,#genre#
CCTV-1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8

CCTV世界地理,http://154.17.19.44:7088/udp/239.11.0.63:1025
CCTV兵器科技,http://154.17.19.44:7088/udp/239.11.0.57:1025
CCTV卫生健康,http://154.17.19.44:7088/udp/239.11.0.185:1025
CCTV央视台球,http://154.17.19.44:7088/udp/239.11.0.60:1025
CCTV央视文化精品,http://154.17.19.44:7088/udp/239.11.0.66:1025
CCTV女性时尚,http://154.17.19.44:7088/udp/239.11.0.62:1025
CCTV怀旧剧场,http://154.17.19.44:7088/udp/239.11.0.64:1025
CCTV电视指南,http://154.17.19.44:7088/udp/239.11.0.58:1025
CCTV第一剧场,http://154.17.19.44:7088/udp/239.11.0.67:1025
CCTV风云剧场,http://154.17.19.44:7088/udp/239.11.0.65:1025
CCTV风云足球,http://154.17.19.44:7088/udp/239.11.0.59:1025
CCTV风云音乐,http://154.17.19.44:7088/udp/239.11.0.68:1025
CCTV高尔夫网球,http://154.17.19.44:7088/udp/239.11.0.61:1025

卫视,#genre#
广东卫视,http://112.99.193.34:9901/tsfile/live/1043_1.m3u8?
深圳卫视,http://218.15.183.23:9901/tsfile/live/23060_1.m3u8
浙江卫视,http://221.226.51.220:50081/newlive/live/hls/27/live.m3u8
东南卫视,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://ak6668768.zicp.io:8830/live1032.m3u8
东方卫视,http://1.31.14.70:54321/hls/27/index.m3u8
天津卫视,http://112.46.85.60:8009/hls/44/index.m3u8
重庆卫视,http://67.220.71.199:2347/livehttpplay?channel_id=20040
黑龙江卫视,http://218.15.183.23:9901/tsfile/live/23055_1.m3u8
吉林卫视,http://a21709.tv.netsite.cc/proxy/649197264/649197264.m3u8
辽宁卫视,http://153.0.169.80:888/hls/29/index.m3u8
甘肃卫视,https://stream1.freetv.fun/4b1f13ba4341c2b65fdf4a5cc14cd1406453c98d29972511ebee68262f82c797.m3u8
河北卫视,http://1.31.14.70:54321/hls/18/index.m3u8
山东卫视,http://221.0.78.26:881/hls/50217/index.m3u8
安徽卫视,http://gmxw.7766.org:808/hls/40/index.m3u8
河南卫视,http://111.61.236.247:9081/hls/33/index.m3u8
湖北卫视,http://111.61.236.247:9081/hls/39/index.m3u8
湖南卫视,http://120.40.39.246:352/newlive/live/hls/21/live.m3u8
江西卫视,http://111.61.236.247:9081/hls/36/index.m3u8
江苏卫视,http://111.61.236.247:9081/hls/26/index.m3u8
广西卫视,http://cssbyd.imwork.net:8082/hls/33/index.m3u8
云南卫视,http://111.61.236.247:9081/hls/32/index.m3u8
贵州卫视,http://1.31.14.70:54321/hls/33/index.m3u8
四川卫视,http://182.150.23.74:808/hls/38/index.m3u8
海南卫视,http://cssbyd.imwork.net:8082/hls/31/index.m3u8
三沙卫视,http://154.17.19.44:7088/udp/239.11.0.177:1025
山西卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.211:5140
陕西卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.223:5140
内蒙古卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.217:5140
兵团卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.221:5140	
西藏卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.222:5140
宁夏卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.230:5140
新疆卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.220:5140
青海卫视,http://907698324.xyz:7088/udp/239.253.43.125:5146

广东,#genre#
广东珠江,http://907698324.xyz:7088/udp/239.77.0.1:5146
广东新闻,http://907698324.xyz:7088/udp/239.77.0.173:5146
广东民生,http://907698324.xyz:7088/udp/239.77.0.225:5146
广东体育,http://907698324.xyz:7088/udp/239.77.0.168:5146
广东经济科教,http://907698324.xyz:7088/udp/239.77.0.85:5146
广东经济科教,http://907698324.xyz:7088/udp/239.77.0.167:5146
大湾区卫视,http://907698324.xyz:7088/udp/239.77.0.215:5146
广东影视,http://907698324.xyz:7088/udp/239.77.0.217:5146
